temp,ts
73.74,1341563258447
73.74,1341563264231
73.74,1341563270014
73.62,1341563275797
73.62,1341563281580
73.62,1341563287364
73.62,1341563293143
73.62,1341563298926
73.62,1341563304710
73.51,1341563310493
73.51,1341563316276
73.51,1341563322060
73.51,1341563327839
73.51,1341563333622
73.40,1341563339405
73.40,1341563345189
73.40,1341563350972
73.29,1341563356755
73.29,1341563362535
73.29,1341563368318
73.18,1341563374101
73.18,1341563379885
73.18,1341563385668
73.18,1341563391451
73.18,1341563397230
73.06,1341563403014
73.06,1341563408797
73.06,1341563414580
73.06,1341563420364
73.06,1341563426147
73.06,1341563431926
73.18,1341563437710
73.18,1341563443493
73.18,1341563449276
73.29,1341563455059
73.29,1341563460839
73.29,1341563466622
73.40,1341563472405
73.40,1341563478189
73.40,1341563483972
73.51,1341563489755
73.51,1341563495535
73.51,1341563501318
73.51,1341563507101
73.62,1341563512884
73.62,1341563518668
73.62,1341563524451
73.74,1341563530230
73.74,1341563536014
73.74,1341563541797
73.74,1341563547580
73.74,1341563553364
73.74,1341563559147
73.74,1341563564926
73.85,1341563570709
73.74,1341563576493
73.74,1341563582276
73.74,1341563588059
73.74,1341563593843
73.74,1341563599622
73.74,1341563605405
73.74,1341563611189
73.74,1341563616972
73.74,1341563622755
73.74,1341563628534
73.74,1341563634318
73.74,1341563640101
73.74,1341563645884
73.74,1341563651668
73.74,1341563657451
73.74,1341563663230
73.74,1341563669014
73.74,1341563674797
73.74,1341563680580
73.74,1341563686363
73.74,1341563692147
73.74,1341563697926
73.74,1341563703709
73.62,1341563709493
73.62,1341563715276
73.62,1341563721059
73.62,1341563726843
73.62,1341563732622
73.62,1341563738405
73.51,1341563744189
73.51,1341563749972
73.51,1341563755755
73.51,1341563761539
73.51,1341563767318
73.40,1341563773101
73.40,1341563778884
73.40,1341563784668
73.40,1341563790451
73.40,1341563796230
73.40,1341563802014
73.29,1341563807797
73.29,1341563813580
73.29,1341563819363
73.18,1341563825147
73.18,1341563830926
73.18,1341563836709
73.18,1341563842493
73.18,1341563848276
73.18,1341563854059
73.18,1341563859842
73.18,1341563865622
73.18,1341563871405
73.18,1341563877188
73.18,1341563882972
73.18,1341563888755
73.18,1341563894538
73.18,1341563900318
73.18,1341563906101
73.18,1341563911884
73.18,1341563917667
73.29,1341563923451
73.29,1341563929234
73.29,1341563935013
73.29,1341563940797
73.29,1341563946580
73.29,1341563952363
73.40,1341563958147
